Variable,N,Mean +/- SD,Median [IQR],Range
Age (years),3533,37.62 +/- 16.58,32.10 [24.41-47.41],18.00 - 96.44
Total RMS (um),3533,5.57 +/- 4.84,3.85 [2.27-6.93],0.63 - 35.36
HOA RMS (um),3533,1.29 +/- 1.28,0.66 [0.48-1.68],0.17 - 8.61
ISV,3533,42.01 +/- 31.97,31.00 [20.00-53.00],6.00 - 228.00
IVA,3533,0.36 +/- 0.36,0.19 [0.12-0.48],0.02 - 2.38
KI,3533,1.07 +/- 0.11,1.03 [1.00-1.10],0.72 - 1.76
CKI,3533,1.02 +/- 0.04,1.01 [1.00-1.02],0.80 - 1.32
IHA,3533,14.87 +/- 17.46,8.50 [3.40-18.70],0.00 - 122.70
IHD,3533,0.04 +/- 0.05,0.02 [0.01-0.05],0.00 - 0.36
BAD D,3533,3.69 +/- 3.89,2.02 [1.22-5.09],-1.15 - 28.87
Kmax,3533,48.54 +/- 5.77,46.70 [44.80-50.22],39.03 - 80.62
CCT,3533,509.46 +/- 57.29,515.00 [474.00-549.00],178.00 - 733.00
